ClassID,Semester,Semester
001,Fall,1
006,Fall,1
011,Fall,1
002,Fall,1
092,Fall,1
091,Fall,1
007,Winter,2
012,Winter,2
008,Winter,2
034,Winter,2
093,Winter,2
003,Fall,3
005,Fall,3
009,Fall,3
032,Fall,3
036,Fall,3
004,Fall,3
097,Fall,3
017,Winter,4
010,Winter,4
014,Winter,4
013,Winter,4
037,Winter,4
098,Winter,4
030,Winter,4
019,Fall,5
021,Fall,5
015,Fall,5
033,Fall,5
022,Fall,5
Eng Category Class to satisfy engineering elective such as 057 ,Fall,5
099,Fall,5
016,Winter,6
018,Winter,6
020,Winter,6
035,Winter,6
100,Winter,6
103,Winter,6
Letters and global cultural awareness class 095 ,Winter,6
023,Fall,7
027,Fall,7
026,Fall,7
EMSB elective like 079,Fall,7
024,Fall,7
Civilization 2 and art general education class 096,Fall,7
102,Fall,7
025,Winter,8
Eng Category Class to satisfy engineering elective such as 053,Winter,8
Eng Category Class to satisfy engineering elective such as 054,Winter,8
EPSEL elective like 086,Winter,8
102,Winter,8
