ClassID,Semester,Semester
001,Fall,1
006,Fall,1
011,Fall,1
002,Fall,1
091,Fall,1
007,Winter,2
012,Winter,2
008,Winter,2
092,Winter,2
097,Winter,2
003,Fall,3
005,Fall,3
009,Fall,3
032,Fall,3
004,Fall,3
017,Winter,4
010,Winter,4
014,Winter,4
013,Winter,4
037,Winter,4
098,Winter,4
021,Fall,5
033,Fall,5
022,Fall,5
036,Fall,5
030,Fall,5
018,Winter,6
035,Winter,6
034,Winter,6
099,Winter,6
103,Winter,6
019,Fall,7
027,Fall,7
015,Fall,7
EMSB elective like 079\,Fall,7
Civilization 2 and art general education class 096,Fall,7
016,Winter,8
020,Winter,8
Eng Category Class to satisfy engineering elective such as 050 ,Winter,8
Eng Category Class to satisfy engineering elective such as 053,Winter,8
100,Winter,8
102,Winter,8
023,Fall,9
026,Fall,9
024,Fall,9
Letters and global cultural awareness class 095 ,Fall,9
093,Fall,9
025,Winter,10
EPSEL elective like 086,Winter,10
Eng Category Class to satisfy engineering elective such as 054,Winter,10
101,Winter,10
